word,notAllowHomophoneNum,allowHomophoneNum,isCommonlyUsed
阿鼻地狱,0,36,false
阿党比周,8,17,false
阿党相为,35,67,false
阿狗阿猫,4,10,false
阿姑阿翁,0,0,false
阿家阿翁,0,0,false
阿娇金屋,6,26,false
阿猫阿狗,45,52,false
阿弥陀佛,10,10,true
阿毗地狱,0,36,false
阿平绝倒,32,40,false
阿其所好,50,58,false
阿时趋俗,3,10,false
阿世盗名,56,63,false
阿世媚俗,3,10,false
阿世取容,3,9,false
阿意取容,3,9,false
阿谀谄媚,0,7,false
阿谀逢迎,16,34,false
阿谀奉承,11,26,false
阿谀取容,3,9,false
哀哀父母,2,12,false
哀哀欲绝,26,38,false
哀兵必胜,4,14,false
哀而不伤,10,15,false
哀感天地,28,42,false
哀感顽艳,3,31,false
哀感中年,22,27,false
哀告宾服,3,40,false
哀鸿遍地,28,42,false
哀鸿遍野,13,20,false
哀毁骨立,19,51,false
哀毁瘠立,19,51,false
哀梨蒸食,49,94,false
哀莫大于心死,57,68,false
哀声叹气,43,81,false
哀丝豪竹,7,38,false
哀思如潮,1,6,false
哀天叫地,28,42,false
哀痛欲绝,26,38,false
唉声叹气,43,81,true
挨冻受饿,12,27,false
挨风缉缝,0,14,false
挨家挨户,5,22,false
挨肩并足,18,22,false
挨肩擦膀,0,6,false
挨肩擦背,27,37,false
挨肩擦脸,6,15,false
挨肩搭背,27,37,false
挨肩迭背,27,37,false
挨肩叠背,27,37,false
挨门挨户,5,22,false
挨门逐户,5,22,false
挨三顶五,77,97,false
挨山塞海,37,41,false
捱风缉缝,0,14,false
捱三顶四,52,63,false
捱三顶五,77,97,false
嗳声叹气,43,81,false
矮人观场,0,13,false
矮人看场,0,13,false
矮人看戏,1,32,false
矮子观场,0,13,false
矮子看戏,1,32,false
蔼然可亲,13,25,false
蔼然仁者,0,7,false
爱别离苦,19,23,false
爱博而情不专,5,7,false
爱不忍释,3,48,false
爱不释手,30,39,false
爱才如渴,4,17,false
爱才如命,10,17,false
爱才若渴,4,17,false
爱财如命,10,17,false
爱富嫌贫,19,22,false
爱国如家,56,74,false
爱鹤失众,66,74,false
爱礼存羊,10,21,false
爱毛反裘,4,8,false
爱民如子,7,22,false
爱莫能助,8,39,false
爱莫之助,8,39,false
爱钱如命,10,17,false
爱人好士,6,51,false
爱人利物,26,46,false
爱人以德,24,26,false
爱日惜力,25,57,false
爱如己出,106,119,false
爱如珍宝,4,16,false
爱生恶死,57,68,false
爱素好古,14,29,false
爱屋及乌,20,40,false
爱惜羽毛,17,23,false
爱则加诸膝，恶则坠诸渊,14,29,false
爱憎分明,70,77,false
爱之欲其生,48,58,false
碍口识羞,4,14,false
碍难从命,10,17,false
碍手碍脚,6,30,false
碍足碍手,30,39,false
暧昧不明,70,77,false
暧昧之情,46,59,false
安安稳稳,7,14,false
安邦定国,20,23,false
安邦治国,20,23,false
安不忘危,16,48,false
安步当车,18,22,false
安常处顺,37,40,false
安常履顺,37,40,false
安常守分,74,82,false
安常守故,20,35,false
安常习故,20,35,false
安车蒲轮,1,4,false
安堵乐业,3,10,false
安堵如故,20,35,false
安分守己,2,52,false
安分守已,0,50,false
安分知足,18,22,false
安份守己,2,52,false
安富恤贫,19,22,false
安富恤穷,40,43,false
安富尊荣,4,10,false
安故重迁,20,35,false
安国富民,29,32,false
安国宁家,56,74,false
安魂定魄,5,9,false
安家乐业,3,10,false
安家立业,3,10,false
安家落户,5,22,false
安居乐业,3,10,true
安老怀少,15,20,false
安乐窝,1,6,false
安良除暴,14,26,false
安眉带眼,27,55,false
